Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_45_39,VPWR,li1,24.3800,133.2800,1.799996
FILLER_45_27,VPWR,li1,20.7000,133.2800,1.799997
FILLER_45_15,VPWR,li1,15.1800,133.2800,1.799997
FILLER_45_3,VPWR,li1,9.6600,133.2800,1.799997
FILLER_44_307,VPWR,li1,146.9700,133.2800,1.799973
FILLER_44_296,VPWR,li1,142.3700,133.2800,1.799973
FILLER_44_264,VPWR,li1,127.4200,133.2800,1.799975
FILLER_44_256,VPWR,li1,125.1200,133.2800,1.799975
FILLER_44_248,VPWR,li1,120.5200,133.2800,1.799975
FILLER_44_236,VPWR,li1,116.8400,133.2800,1.799976
FILLER_44_224,VPWR,li1,111.3200,133.2800,1.799977
FILLER_44_173,VPWR,li1,85.7900,133.2800,1.799981
FILLER_44_161,VPWR,li1,82.3400,133.2800,1.799981
FILLER_44_149,VPWR,li1,76.8200,133.2800,1.799983
FILLER_44_139,VPWR,li1,69.6900,133.2800,1.799985
FILLER_44_135,VPWR,li1,68.5400,133.2800,1.799985
FILLER_44_121,VPWR,li1,61.4100,133.2800,1.799987
FILLER_44_112,VPWR,li1,57.2700,133.2800,1.799988
FILLER_44_104,VPWR,li1,55.2000,133.2800,1.799988
FILLER_44_98,VPWR,li1,51.2900,133.2800,1.799990
FILLER_44_69,VPWR,li1,37.4900,133.2800,1.799993
FILLER_44_65,VPWR,li1,36.3400,133.2800,1.799993
FILLER_44_53,VPWR,li1,32.6600,133.2800,1.799994
FILLER_44_41,VPWR,li1,27.1400,133.2800,1.799996
FILLER_44_29,VPWR,li1,21.6200,133.2800,1.799997
FILLER_44_27,VPWR,li1,18.1700,133.2800,1.799997
FILLER_44_15,VPWR,li1,15.1800,133.2800,1.799997
FILLER_44_3,VPWR,li1,9.6600,133.2800,1.799997
FILLER_43_323,VPWR,li1,154.5600,127.8400,1.799969
FILLER_43_302,VPWR,li1,144.6700,127.8400,1.799970
FILLER_43_296,VPWR,li1,143.0600,127.8400,1.799970
FILLER_43_284,VPWR,li1,138.9200,127.8400,1.799970
FILLER_43_279,VPWR,li1,134.0900,127.8400,1.799970
FILLER_43_272,VPWR,li1,131.1000,127.8400,1.799971
FILLER_43_237,VPWR,li1,115.4600,127.8400,1.799972
FILLER_43_225,VPWR,li1,111.7800,127.8400,1.799972
FILLER_43_223,VPWR,li1,108.3300,127.8400,1.799973
FILLER_43_219,VPWR,li1,106.4900,127.8400,1.799973
FILLER_43_209,VPWR,li1,102.1200,127.8400,1.799974
FILLER_43_185,VPWR,li1,90.8500,127.8400,1.799976
FILLER_43_181,VPWR,li1,89.7000,127.8400,1.799976
FILLER_43_169,VPWR,li1,86.0200,127.8400,1.799977
FILLER_43_166,VPWR,li1,82.3400,127.8400,1.799978
FILLER_43_158,VPWR,li1,80.0400,127.8400,1.799979
FILLER_43_146,VPWR,li1,73.1400,127.8400,1.799981
FILLER_43_126,VPWR,li1,63.9400,127.8400,1.799983
FILLER_43_120,VPWR,li1,60.9500,127.8400,1.799984
FILLER_43_111,VPWR,li1,56.8100,127.8400,1.799986
FILLER_43_107,VPWR,li1,55.6600,127.8400,1.799986
FILLER_43_95,VPWR,li1,51.9800,127.8400,1.799987
FILLER_43_69,VPWR,li1,37.9500,127.8400,1.799991
FILLER_43_57,VPWR,li1,34.5000,127.8400,1.799992
FILLER_43_55,VPWR,li1,31.0500,127.8400,1.799993
FILLER_43_51,VPWR,li1,29.9000,127.8400,1.799993
FILLER_43_39,VPWR,li1,24.8400,127.8400,1.799995
FILLER_43_27,VPWR,li1,20.7000,127.8400,1.799996
FILLER_43_15,VPWR,li1,15.1800,127.8400,1.799996
FILLER_43_3,VPWR,li1,9.6600,127.8400,1.799996
FILLER_42_318,VPWR,li1,152.4900,127.8400,1.799969
FILLER_42_299,VPWR,li1,143.2900,127.8400,1.799970
FILLER_42_293,VPWR,li1,141.6800,127.8400,1.799970
FILLER_42_279,VPWR,li1,134.0900,127.8400,1.799970
FILLER_42_275,VPWR,li1,132.9400,127.8400,1.799970
FILLER_42_253,VPWR,li1,122.1300,127.8400,1.799971
FILLER_42_241,VPWR,li1,118.2200,127.8400,1.799971
FILLER_42_229,VPWR,li1,113.6200,127.8400,1.799972
FILLER_42_194,VPWR,li1,95.2200,127.8400,1.799975
FILLER_42_186,VPWR,li1,92.9200,127.8400,1.799975
FILLER_42_174,VPWR,li1,88.3200,127.8400,1.799976
FILLER_42_139,VPWR,li1,69.6900,127.8400,1.799981
FILLER_42_131,VPWR,li1,67.6200,127.8400,1.799982
FILLER_42_115,VPWR,li1,59.8000,127.8400,1.799985
FILLER_42_103,VPWR,li1,55.6600,127.8400,1.799986
FILLER_42_91,VPWR,li1,50.1400,127.8400,1.799988
FILLER_42_83,VPWR,li1,43.9300,127.8400,1.799989
FILLER_42_70,VPWR,li1,39.5600,127.8400,1.799991
FILLER_42_60,VPWR,li1,33.3500,127.8400,1.799993
FILLER_42_56,VPWR,li1,32.2000,127.8400,1.799993
FILLER_42_29,VPWR,li1,20.2400,127.8400,1.799996
FILLER_42_27,VPWR,li1,18.1700,127.8400,1.799996
FILLER_42_15,VPWR,li1,15.1800,127.8400,1.799996
FILLER_42_3,VPWR,li1,9.6600,127.8400,1.799996
FILLER_41_316,VPWR,li1,151.1100,122.4000,1.799955
FILLER_41_277,VPWR,li1,133.6300,122.4000,1.799956
FILLER_41_223,VPWR,li1,108.3300,122.4000,1.799961
FILLER_41_217,VPWR,li1,105.8000,122.4000,1.799961
FILLER_41_205,VPWR,li1,102.5800,122.4000,1.799962
FILLER_41_193,VPWR,li1,97.0600,122.4000,1.799963
FILLER_41_181,VPWR,li1,91.5400,122.4000,1.799965
FILLER_41_169,VPWR,li1,86.0200,122.4000,1.799966
FILLER_41_166,VPWR,li1,82.3400,122.4000,1.799967
FILLER_41_158,VPWR,li1,80.0400,122.4000,1.799968
FILLER_41_141,VPWR,li1,71.7600,122.4000,1.799972
FILLER_41_117,VPWR,li1,59.5700,122.4000,1.799976
FILLER_41_113,VPWR,li1,58.4200,122.4000,1.799976
FILLER_41_109,VPWR,li1,56.3500,122.4000,1.799977
FILLER_41_97,VPWR,li1,52.9000,122.4000,1.799978
FILLER_41_85,VPWR,li1,47.3800,122.4000,1.799981
FILLER_41_55,VPWR,li1,31.0500,122.4000,1.799988
FILLER_41_33,VPWR,li1,20.9300,122.4000,1.799994
FILLER_41_27,VPWR,li1,19.3200,122.4000,1.799994
FILLER_41_15,VPWR,li1,15.1800,122.4000,1.799994
FILLER_41_3,VPWR,li1,9.6600,122.4000,1.799994
FILLER_40_319,VPWR,li1,153.6400,122.4000,1.799955
FILLER_40_315,VPWR,li1,150.6500,122.4000,1.799955
FILLER_40_309,VPWR,li1,149.0400,122.4000,1.799955
FILLER_40_300,VPWR,li1,145.3600,122.4000,1.799955
FILLER_40_288,VPWR,li1,140.7600,122.4000,1.799956
FILLER_40_274,VPWR,li1,131.7900,122.4000,1.799956
FILLER_40_248,VPWR,li1,119.8300,122.4000,1.799958
FILLER_40_244,VPWR,li1,118.6800,122.4000,1.799958
FILLER_40_234,VPWR,li1,113.3900,122.4000,1.799959
FILLER_40_223,VPWR,li1,108.5600,122.4000,1.799961
FILLER_40_211,VPWR,li1,105.3400,122.4000,1.799961
FILLER_40_205,VPWR,li1,100.2800,122.4000,1.799962
FILLER_40_197,VPWR,li1,97.9800,122.4000,1.799963
FILLER_40_193,VPWR,li1,94.9900,122.4000,1.799964
FILLER_40_184,VPWR,li1,90.8500,122.4000,1.799965
FILLER_40_172,VPWR,li1,87.4000,122.4000,1.799966
FILLER_40_149,VPWR,li1,74.5200,122.4000,1.799970
FILLER_40_141,VPWR,li1,72.2200,122.4000,1.799971
FILLER_40_139,VPWR,li1,69.6900,122.4000,1.799972
FILLER_40_133,VPWR,li1,68.0800,122.4000,1.799972
FILLER_40_128,VPWR,li1,64.8600,122.4000,1.799973
FILLER_40_112,VPWR,li1,58.8800,122.4000,1.799976
FILLER_40_100,VPWR,li1,54.2800,122.4000,1.799978
FILLER_40_88,VPWR,li1,48.7600,122.4000,1.799981
FILLER_40_59,VPWR,li1,32.8900,122.4000,1.799987
FILLER_40_55,VPWR,li1,31.7400,122.4000,1.799988
FILLER_40_48,VPWR,li1,28.0600,122.4000,1.799990
FILLER_40_40,VPWR,li1,25.7600,122.4000,1.799991
FILLER_40_29,VPWR,li1,20.2400,122.4000,1.799994
FILLER_40_27,VPWR,li1,18.1700,122.4000,1.799994
FILLER_40_15,VPWR,li1,15.1800,122.4000,1.799994
FILLER_40_3,VPWR,li1,9.6600,122.4000,1.799994
FILLER_39_323,VPWR,li1,154.5600,116.9600,1.799943
FILLER_39_315,VPWR,li1,152.2600,116.9600,1.799943
FILLER_39_308,VPWR,li1,147.4300,116.9600,1.799943
FILLER_39_299,VPWR,li1,143.2900,116.9600,1.799943
FILLER_39_295,VPWR,li1,142.1400,116.9600,1.799943
FILLER_39_286,VPWR,li1,137.5400,116.9600,1.799943
FILLER_39_274,VPWR,li1,131.7900,116.9600,1.799944
FILLER_39_247,VPWR,li1,121.9000,116.9600,1.799944
FILLER_39_235,VPWR,li1,116.3800,116.9600,1.799945
FILLER_39_225,VPWR,li1,109.4800,116.9600,1.799945
FILLER_39_200,VPWR,li1,98.4400,116.9600,1.799949
FILLER_39_188,VPWR,li1,92.2300,116.9600,1.799952
FILLER_39_184,VPWR,li1,91.0800,116.9600,1.799952
FILLER_39_169,VPWR,li1,85.1000,116.9600,1.799955
FILLER_39_165,VPWR,li1,82.1100,116.9600,1.799957
FILLER_39_156,VPWR,li1,78.6600,116.9600,1.799958
FILLER_39_144,VPWR,li1,74.5200,116.9600,1.799961
FILLER_39_133,VPWR,li1,67.1600,116.9600,1.799965
FILLER_39_110,VPWR,li1,56.5800,116.9600,1.799971
FILLER_39_105,VPWR,li1,54.2800,116.9600,1.799973
FILLER_39_93,VPWR,li1,51.0600,116.9600,1.799975
FILLER_39_81,VPWR,li1,45.5400,116.9600,1.799978
FILLER_39_69,VPWR,li1,40.0200,116.9600,1.799982
FILLER_39_57,VPWR,li1,34.5000,116.9600,1.799985
